Name;ID;RegistrationDate;Location;Owner;Flow;MaintenanceTime;Road
Остановочный пункт с. Пажга;11040;05.06.2017;с. Пажга а/д Р-176 «Вятка», Чебоксары – Йошкар-Ола – Киров – Сыктывкар, 754км+173м (справа), 752км+406м (слева);"ФКУ Упрдор ""Прикамье""";12;5;"а/д Р-176 ""Вятка"" Чебоксары - Йошкар-Ола - Киров - Сыктывкар, 752км"
ОП с. Ведомша;76099;22.05.2017;с. Ведомша а/д Нагорье – Кубринск – гр. Московской области, 4км+420м (справа), 4км+370м (слева);Департамент транспорта Ярославской области;30;2;а/д Нагорье – Кубринск – гр. Московской области, 4км
Остановочный пункт д. Дворики 59км;69087;05.06.2017;д. Дворики а/д «Сергиев Посад – Калязин – Рыбинск – Череповец», 59км+256м (справа), 59км+240м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Сергиев Посад – Калязин – Рыбинск – Череповец», 59км
ДКП п. Островское;44012;18.07.2016;157650 п. Островское Костромская обл., Островский р-н, п. Островское, ул. Свердлова, д. 5;"ЗАО ""Костромское предприятие по обслуживанию пассажиров автобусными перевозками""";14;2;п. Островское (ул. Свердлова)
Остановочный пункт а. Нижняя Теберда;9031;05.06.2017;а. Нижняя Теберда а/д А-155 Черкесск – Домбай – граница с республикой Абхазия, 70км+826м (справа), 70км+823м (слева);"ФКУ Упрдор ""Кавказ""";12;1;а/д А-155 Черкесск – Домбай – граница с Республикой Абхазия, 70км
ОП п. Лобское;10044;20.05.2017;п. Лобское а/д А-119 «Вологда – Медвежьегорск – автомобильная дорога Р-21 «Кола», 579км+137м (слева), 579км+460м (справа);"ФКУ Упрдор ""Кола""";12;2;а/д А-119 «Вологда – Медвежьегорск – автомобильная дорога Р-21 «Кола», 579км
ОП с. Безменово;54042;05.05.2017;"с. Безменово а/д Р-25 ""Чуйский тракт"" Новосибирск – Барнаул – Горно-Алтайск – Граница с Монголией, 119км+679м (справа)";"ФКУ ""Сибуправтодор""";12;5;"а/д Р-256 ""Чуйский тракт"", 119 км"
АС ст. Тейково;37018;19.01.2017;ст. Тейково Ивановская обл., ст. Тейково;"АО ""Ивановское производственное объединение автовокзалов и пассажирских автостанций""";12;4;Р152, ст. Тейково (ул. Шоссейная, Вокзальный проезд, пл. 50 лет Октября)
ОП с. Изосимово 389км;68059;20.05.2017;с. Изосимово а/д Р-22 «Каспий» а/д М-4 «Дон» – Тамбов – Астрахань, 389км+015м (справа), 389км+783м (слева);"ФКУ Упрдор ""Москва - Волгоград""";12;5;а/д Р-22 «Каспий» а/д М-4 «Дон» – Тамбов – Астрахань, 389км
Кассовый пункт с. Бижбуляк;2026;20.08.2016;452040 с. Бижбуляк Республика Башкортостан, Бижбулякский район, с. Бижбуляк, ул. Центральная, 85а;"ГУП ""Башавтотранс""";6;3;с. Бижбуляк (ул. Центральная)
ОП д. Феофилова Пустынь;60056;13.03.2017;"д. Феофилова Пустынь ФАД Р-23 ""Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия"" д. Феофилова Пустынь 205км.+202м. (слева), 205км.+214м. (справа)";"ФКУ ""Севзапуправтодор""";12;5;"Р-23 ""Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия"" 205 км д. Феофилова Пустынь"
ОП с. Возрождение 1495км-2;23401;05.05.2017;с. Возрождение а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону через Краснодар до Новороссийска Краснодар – Новороссийск 1495км+648м (справа);"ГК ""Автодор""";20;1;"а/д М-4 ""Дон"": съезд в остановочный карман 1495км"
ОП с. Летняя Ставка;26024;02.08.2016;356522 с. Летняя Ставка Ставропольский край, Туркменский район, с. Летняя Ставка, ул. Садовая, д. 52;"ОАО ""Автовокзал""";36;5;1 вариант: с. Летняя Ставка (ул. Интернациональная), 2 вариант: с. Летняя Ставка (ул. Садовая)
АС г. Вятские Поляны;43003;18.07.2016;612960 г. Вятские Поляны Кировская обл., г. Вятские Поляны, ул. Мира, д. 38;"ОАО ""КировПассажир Автотранс""";24;5;Р169, г. Вятские Поляны (ул. Тойменка), г. Вятские Поляны (ул. Ленина), г. Вятские Поляны (ул. Урицкого), г. Вятские Поляны (ул. Мира), г. Вятские Поляны (ул. Гагарина), г. Вятские Поляны (ул. Ленина), г. Вятские Поляны (ул. Энергетиков), Р169
